variable_name,notes,unit,values,classification_scheme,missing_data,required
comment_primary,"Any other comments on the primary data, i.e. data extracted from the original source.",text,free text,None,NA or NULL - cannot be empty,TRUE
comment_secondary,"Any other comments on the secondary data, i.e. data extracted from the secondary sources. This information should make it easier to find the scondary sources, therefore a full reference and further information, like table no. etc. should be included.",text,free text,None,NA or NULL - optional,FALSE
data_entry,Name of the person providing the data. Optional.,text,free text,None,NULL - optional,FALSE
global_region,Global region of the country,text (selection),free text,United Nations geoscheme https://en.wikipedia.org/wiki/United_Nations_geoscheme,NA or NULL - optional,FALSE
climate_classification,Climate region according to the Köppen climate region https://en.wikipedia.org/wiki/Köppen_climate_classification and https://dx.doi.org/10.5194/hess-11-1633-2007 respectively,climate region,text [selection],"Köppen climate classification, https://en.wikipedia.org/wiki/Köppen_climate_classification",NA or NULL - optional,FALSE
equator_distance,"Distance from the equator, https://www.distance.to/",kilometer,Integer value,None,NA or NULL - optional,FALSE
heating_degree_days_0,Heating degree days at the beginning of the constructio period. Possible data source: https://www.kapsarc.org/research/projects/global-degree-days-database/ - use sheet 'T2m.hdd.18C' and divide by four to obtain daily values.,Degree Kelvin and day [Kd],Integer value,Heating Degree Days using plain temperature at 2 m elevation at a reference temperature of 18 degreee Celsius,NA or NULL - optional,FALSE
heating_degree_days_1,Heating degree days at the end of the constructio period. Possible data source: https://www.kapsarc.org/research/projects/global-degree-days-database/ - use sheet 'T2m.hdd.18C' and divide by four to obtain daily values.,Degree Kelvin and day [Kd],Integer value,Heating Degree Days using plain temperature at 2 m elevation at a reference temperature of 18 degreee Celsius,NA or NULL - optional,FALSE
cooling_degree_days_0,Cooling degree days at the beginning of the constructio period. Possible data source: https://www.kapsarc.org/research/projects/global-degree-days-database/ - use sheet 'T2m.cdd.18C' and divide by four to obtain daily values.,Degree Kelvin and day [Kd],Integer value,Cooling Degree Days using plain temperature at 2 m elevation at a reference temperature of 18 degreee Celsius,NA or NULL - optional,FALSE
cooling_degree_days_1,Cooling degree days at the end of the constructio period. Possible data source: https://www.kapsarc.org/research/projects/global-degree-days-database/ - use sheet 'T2m.cdd.18C' and divide by four to obtain daily values.,Degree Kelvin and day [Kd],Integer value,Cooling Degree Days using plain temperature at 2 m elevation at a reference temperature of 18 degreee Celsius,NA or NULL - optional,FALSE
country_land_area,Surface area of the country. Possible data source: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,square kilometer,float,None,NA or NULL - optional,FALSE
population_0,Region's population at the beginning of the construction period. Potential data source: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018,person,integer value,None,NA or NULL - optional,FALSE
population_1,Region's population at the end of the construction period. Potential data source: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018,person,integer value,None,NA or NULL - optional,FALSE
urbanization_0,Country's urbanization rate at the beginning of the construction period. Potential data source: https://esa.un.org/unpd/wup/Download/,urbanization rate,float,UN DESA,NA or NULL - optional,FALSE
urbanization_1,Country's urbanization rate at the end of the construction period. Potential data source: https://esa.un.org/unpd/wup/Download/,urbanization rate,float,UN DESA,NA or NULL - optional,FALSE
gdp_0,Real Gross Domestic Product of the country at the beginning of the construction period. Potential data source: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018,2011 US$,integer value,None,NA or NULL - optional,FALSE
gdp_1,Real Gross Domestic Product of the country at the end of the construction period. Potential data source: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018,2011 US$,integer value,None,NA or NULL - optional,FALSE
hdi_0,Country's Human Development Index at the beginning of the construction period. Potential data source: http://hdr.undp.org/en/indicators/137506,HDI,float,UN DESA,NA or NULL - optional,FALSE
hdi_1,Country's Human Development Index at the end of the construction period. Potential data source: http://hdr.undp.org/en/indicators/137506,HDI,float,UN DESA,NA or NULL - optional,FALSE
